iter	Passed	Remaining
0	0	55
1	1	53
2	1	50
3	1	47
4	2	49
5	3	51
6	3	52
7	4	54
8	5	52
9	5	51
10	6	49
11	6	49
12	7	48
13	7	47
14	8	46
15	8	45
16	9	44
17	9	43
18	9	42
19	10	42
20	11	41
21	11	40
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	28
40	19	28
41	20	28
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	33	13
71	33	13
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	38	7
84	39	6
85	40	6
86	40	6
87	41	5
88	41	5
89	41	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	45	0
99	46	0
